Cumulative Time,black_0,black_1,flask_0,flask_1,flask_2,jinja2_0,jinja2_1,pre_commit_0,pre_commit_1,pre_commit_hooks_0,pre_commit_hooks_1,fastapi_0,fastapi_1,rich_0,rich_1,flake8_0,flake8_1,typer_0,typer_1,typer_2,typer_3,werkzeug_0,werkzeug_1,click_0,urllib3_0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314.317,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533.923,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
537.0699999999999,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
779.712,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0
854.512,0,0,0,0,0,0,0,0,205,114,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0
885.178,0,0,0,0,0,0,0,0,205,114,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0
927.8599999999999,0,0,0,0,0,0,0,0,205,128,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0
949.486,0,0,0,0,0,0,0,0,205,128,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
952.017,0,0,0,0,0,0,0,202,205,128,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
1014.9379999999999,0,0,0,0,0,0,0,202,205,141,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
1062.2969999999998,0,0,0,0,0,0,0,202,205,148,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
1067.059,0,0,0,0,0,0,0,202,205,148,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0
1109.1919999999998,0,0,0,0,0,0,0,202,205,154,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0
1133.943,0,0,198,0,0,0,0,202,205,154,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0
1152.872,0,0,198,0,0,0,0,202,205,154,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0
1157.7609999999997,0,0,198,0,0,0,0,202,205,160,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0
1184.3439999999998,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0
1192.846,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0
1247.951,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0
1295.489,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0
1306.75,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0
1320.871,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0
1343.89,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0
1388.477,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0
1426.26,0,0,198,0,0,0,0,202,205,163,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0
1494.9119999999998,0,0,198,0,0,0,0,202,294,163,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0
1506.042,0,0,198,0,0,0,0,294,294,163,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0
1508.441,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0
1516.833,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0
1565.71,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0
1618.488,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0
1644.578,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0
1657.075,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0
1684.46,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0
1695.9360000000001,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0
1704.8850000000002,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0
1713.582,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0
1719.7240000000002,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0
1731.546,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0
1737.693,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0
1746.6879999999999,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0
1758.206,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0
1782.072,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0
1878.243,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,404,0,195,0,0,0,0,0,0,0
1882.9279999999999,0,0,198,0,0,518,0,294,294,163,0,0,0,0,0,423,0,195,0,0,0,0,0,0,0
1888.926,0,0,282,0,0,518,0,294,294,163,0,0,0,0,0,423,0,195,0,0,0,0,0,0,0
